,MNIST Data Labels
Neuron,0,1,2,3,4,5,6,7,8,9,Max,Totals
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,24,19,43,0,2,3,0,9,6,43,106
13,0,0,0,0,0,0,0,0,0,0,0,0
14,97,59,32,430,50,268,134,4,235,62,430,1371
15,281,805,264,296,366,369,368,147,520,455,805,3871
Sum Max:,1278
Sum All:,5348
Purity:,0.23897
Coverage:,0.53480
